Organization,Country,Info,Organization categorization,All ML Systems
New York University (NYU),United States of America,,Academia,"BPL,Visualizing CNNs,OverFeat,Mid-level Features,Deconvolutional Network,Stacked Semisuperviser Autoencoders,DrLIM,Sparse Energy-Based Model,ConvNet similarity metric,ESM2-15B,ESM1-670M (UR50/S),StarCoder,Dropout-LSTM+Noise(Bernoulli) (WT2),LSTM-Char-Large,Large regularized LSTM,Verbatim Memory Transformer (182M),FinGPT-13B,Retrieval-Augmented Generator,DiT-XL/2,ESM1-670M (UR50/D),ESM1-670M (UR100),ESM1-85M,ESM1-43M,ESM1b,ESM1v,ESM2-3B,ESM2-650M,ESM2-150M,ESM2-35M,ESM2-8M,MSA Transformer,AlphaGeometry,NMST+GPT-2,LSTM+Noise(Beta),L_UL-seq,AWD-LSTM-MoS+Noisin+dynamic evaluation (PTB),Dropout-LSTM+Noise(Laplace) - medium (WT2),Dropout-LSTM+Noise(Bernoulli) - large(PTB),Verbatim Memory Transformer (117M),Verbatim Memory Transformer (108M),ReLU-Speech,Invariant CNN,Vision-based obstacle avoidance system (2005),JURA Bio Model,DeepFRI,Two Stage Feature Extraction (MNIST),Hierarchical Scene Labeling,SVM-CNN,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,OLMo 2 Furious 7B,OLMo 2 Furious 13B,Cambrian-1-34B,Cambrian-1-13B,Cambrian-1-8B,Eagle 2"
Newcastle University,United Kingdom of Great Britain and Northern Ireland,,Academia,MACE-MP-0
Newport High School,United States of America,,,PLAPT
NexGen Cloud,Spain,,Industry,
Nexusflow,United States of America,,Industry,"Athene-70B,NexusRaven-V2,Athene-V2"
NHK Broadcasting Science Research Laboratories,Japan,,Industry,"Neocognitron,Hierarchical Cognitron"
NHN Corporation,Korea (Republic of),,Industry,
Ningbo AI Supercomputing Center,China,,Government,
NiuTrans Research,China,https://github.com/NiuTrans,,"NAS+ESS (156M),NAS+ESS (23M),Integer Transformer"
Nixtla,United States of America,,Industry,TimeGPT-1
Northeastern University,United States of America,,Academia,"Residual Dense Network,RCAN,StarCoder,DNABERT,Stable Video 4D (SV4D)"
Northeastern University (China),China,https://en.wikipedia.org/wiki/Northeastern_University_(China),Academia,"NAS+ESS (156M),NAS+ESS (23M),Integer Transformer,TAWFN,Xinyu"
Northern Data Group,Germany,,Industry,
Northwestern Polytechnical University,China,,Academia,Beyond ESM2: Graph-Enhanced Protein Sequence Modeling with Efficient
Northwestern University,United States of America,,Academia,"RNNLM + Dynamic KL Regularization (WT2),RNNLM + Dynamic KL Regularization"
Nostrum Biodiscovery,Spain,,,SS-pLM
Nous Research,United States of America,,Industry,"StripedHyena-Hessian-7B,Hermes 3 405B,Hermes 3 70B,Hermes 3 8B,DISTRO,Hermes 2 Theta Llama-3 70B,Deephermes 3 Llama 3 8B Preview,Nous-Hermes-2-Yi-34B,DeepHermes 3 - Mistral 24B"
Novartis,Switzerland,,Industry,MoLeR
Novo Nordisk Foundation,Denmark,,Industry,
NTT Communication Science Laboratories,Japan,,Industry,"Japanese dialog transformers,(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),AWD-LSTM+WT+Cache+IOG (WT2),tsuzumi 7B,RNN + char4-MS-vec,(ensemble): AWD-LSTM-DOC (fin) × 5 (PTB),AWD-LSTM-DOC (fin) (37M),AWD-LSTM-DOC (fin) (23M),AWD-LSTM+WT+Cache+IOG (PTB),tsuzumi 7B upgrade 2024,RNN + char2-MS-vec,RNN + char3-MS-vec"
NUANCE Communications,United States of America,,Industry,Semi-Supervised Embedding for DL
Numenta,United States of America,,Industry,bRSM + cache
NVIDIA,United States of America,,Industry,"Megatron-LM (1T),Megatron-Turing NLG 530B,ProtT5-XXL,Megatron-BERT,Megatron-LM (8.3B),ProgressiveGAN,CALM,ASE,Perfusion,2-layer-LSTM+Deep-Gradient-Compression,Nemotron-3-8B,STT Conformer-Transducer XL,ProteinDT,ProtBERT-BFD,GenSLM,Nucleotide Transformer,Megatron-LM (355M),NeMO Megatron GPT 20B,MegaMolBART,eDiff-I,StarCoder 2 15B,StarCoder 2 7B,StarCoder 2 3B,PAR Transformer Large,ProtT5-XXL-BFD,Megatron-LM (2.5B),Nemotron-4 340B,Mamba2-Hybrid,VISTA-2D,ProtBERT-UniRef,BADGER,NVLM-D 72B,NVLM-H 72B,Nemotron-4 15B,NV-Embed-v1,NV-Embed-v2,Llama-3.1-Nemotron-70B-Instruct,Fugatto 1,NVLM-X 72B,Llama-3.1-Minitron-4B,Minitron 8B,Minitron 4B,Cosmos-1.0-
Diffusion-14B Video2World,NVILA 15B,NVILA 8B,Evo 2 40B,Evo 2 7B,Llama Nemotron Nano 8B,Llama Nemotron Ultra 253B,Llama Nemotron Super 49B,VILA1.5-40B,VILA1.5-7B,VILA1.5-13B,LongVILA-7B,Nemotron-H 8B,Nemotron-H 47B,Nemotron-H 56B,SHIFT-SUV,DoMINO,GR00T N1,Eagle 2,Apriel Nemotron 15B,Eagle 2.5,Cosmos-Transfer1,Cosmos-Predict1,NVIDIA Isaac GR00T N1.5,SANA 1.6B,Parakeet ASR,StyleGAN3-T,StyleGAN3-R,StyleGAN,StyleGAN2,HAMSTER VLM,VILA-13B,Cosmos-Predict2-2B-Text2Image ,Cosmos-Predict2-14B-Text2Image,Cosmos-Predict2-2B-Video2World,Cosmos-Predict2-14B-Video2World,Earth-2 (cBottle-SR),STORM-B/8,SANA 1.5 4.8B,Diffusion Renderer,FoundationStereo,Difix3D+,Zero-shot Monocular Scene Flow (ZeroMSF),3DGUT,NVAE (CIFAR 10),NVAE (FFHQ),NCP-VAE (CIFAR 10),NVAE (Celeba HQ),NCP-VAE (Celeba  HQ),OpenReasoning-Nemotron-32B,Hymba,Megatron-LM (1.2B)"
Oak Ridge National Laboratory,United States of America,,Government,"ProtT5-XXL,ProtBERT-BFD,ProtT5-XXL-BFD,ProtBERT-UniRef,Prithvi WxC"
OctoAI,,,,
Ohio State University,United States of America,,,"ShapeMol,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B"
Oncode Institute,,,,PARM
OneAsia,"Hong Kong,China",,Industry,
OpenAI,United States of America,,Industry,"GPT-4,Whisper,InstructGPT 175B,Statement Curriculum Learning,DALL·E 2,DALL-E,CLIP (ViT L/14@336px),CLIP (ResNet-50),Codex,GLIDE,GPT-3 175B (davinci),iGPT-XL,iGPT-L,Go-explore,OpenAI Five,OpenAI Five Rerun,GPT-2 (1.5B),Rubik's cube ADR robot,Hide and Seek,GPT-1,OpenAI TI7 DOTA 1v1,GAN-Advancer,ADAM (CIFAR-10),GPT-3.5,GPT-4V,GPT-3.5 Turbo,DALL·E 3,ADM,Whisper v3,Consistency Decoder,GPT-4 Turbo,Whisper v2,GPT2-Large+LHOPT,GPT-2 (355M),GPT3-6.7B (rerun of original),GPT3-6.7B + muP,Sora,Voice Engine,GPT-2 (124M),GPT-2 (774M),GPT-4o,GPT-4o mini,text-embedding-3-small,text-embedding-3-large,text-embedding-ada-002,babbage-002,tts-1,tts-1-hd,o1-mini,o1-preview,MuseNet,o1,GPT-3 6.7B,GPT-3 XL,GPT-3 Small,GPT-3 Medium,GPT-3 Large,GPT-3 2.7B,GPT-3 13B,InstructGPT 6B,InstructGPT 1.3B,InstructGPT 350M,Sora Turbo,o3-mini,o3,GPT-4.5,GPT-4b micro,Computer-Using Agent (CUA),GPT-4.1,GPT-4.1 mini,GPT-4.1 nano,o4-mini,CriticGPT,4o Image Generation,SearchGPT,Dexterous In-Hand Manipulation [control policy],o3-pro,codex-1,o3 Operator,Operator,gpt-image-1,Glow (Celeba HQ),Variational Lossy Autoencoder (VLAE) MNIST,Very Deep VAEs (ImageNet-64),ChatGPT agent,Sparse Transformer (Enwik8),Sparse Transformer (CIFAR10),Sparse Transformer (ImageNet),PixelCNN++,Consistency Model (CIFAR-10),gpt-oss-120b,gpt-oss-20b,GPT-5,GPT-5 mini,GPT-5 nano"
OpenBioML,Multinational,,Research collective,MIF-ST
OpenBMB (Open Lab for Big Model Base),China,"founded by ModelBest Inc (面壁智能) & TsinghuaNLP, aims to build foundation models and systems towards AGI",,"MiniCPM-V 2.6,CPM-Ant
,CPM-Bee"
OpenLM Research,United States of America,,Research collective,OpenLLaMA-13B
OpenProtein.ai,Singapore,,Industry,PoET
Opera,Norway,,Industry,
OPPO HealthLab,China,,Industry,KeAP
Oppo Mobile Telecommunications,China,,Industry,"LaMemo,AndesGPT"
Oracle,United States of America,,Industry,
Oregon State University,United States of America,,Academia,"DD-PPO,NETtalk reimplementation,Whale Bioacoustics Model,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M,bpRNA-align"
Ori Industries,United Kingdom of Great Britain and Northern Ireland,,Industry,
Oristruct Biotech Company,United Kingdom of Great Britain and Northern Ireland,,Industry,SCUBA-D
Osaka University,Japan,,Academia,
PanaAI,Singapore,,Industry,
Pawsey Supercomputing Centre,Australia,,Government,
Peking University,China,,Academia,"NÜWA,WizardLM-7B,PermuteFormer,AWD-LSTM-MoS + dynamic evaluation (WT2, 2018),GSM,WizardLM 70B,Emu1 (BAAI),Segatron XL large, M=384,GPT-2-Medium+Pixelfly,MegaScale (175B),MegaScale (530B),MegaScale (Production),AWD-LSTM-MoS + dynamic evaluation (PTB, 2018),GPT-2-Small+Pixelfly,Segatron XL base, M=384,DrugCLIP,DiffPepBuilder,AtomFlow,ProLLaMA,ESM-AA,Protllm,DiffBindFR,RNA-MSM,BindDM,Janus 1.3B,DeepRelax,GeoSeqBuilder,DeepSeekMath 7B,DeepSeek Coder 33B,DeepSeek Coder 1.3B,DeepSeek Coder 6.7B,aiXcoder-7B Base,Eurus-2-7B-PRIME,Pyramid Flow,WizardLM 13B v1.2,SGPT BE 5.8B,LLaVA-CoT,Emu2,rStar-Math (Qwen2.5-Math-7B base),rStar-Math (Qwen2-Math-7B base),SANA 1.5 4.8B"
Peng Cheng Laboratory,China,,Academia,"ERNIE 3.0 Titan,MedBERT,Stacked-LSTM+PruningNo,ProLLaMA,RNA-MSM,BindDM,LLaVA-CoT,PengCheng Mind (鹏城脑海)"
Pennsylvania State University,United States of America,,Academia,"DiffStk-MRNN,CHIEF,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,Yuel 2"
Peptone,United Kingdom of Great Britain and Northern Ireland,,Industry,"ProteinMPNN-DDG,ESMIF-DDG"
Perplexity,United States of America,,Industry,"PPLX-70B-Online,Sonar,R1 1776,Sonar Pro,Sonar Reasoning Pro,Sonar Reasoning,Sonar Deep Research"
Petrobras,Brazil,,Industry,
Petuum,United States of America,,Industry,"CRYSTALCODER,Amber"
PharMolix,China,,Industry,ESM-AA
Physical Intelligence,United States of America,https://physicalintelligence.company/ ,Industry,"OpenVLA,π0 (pi-zero),π0.5 (pi-0.5)"
Pika Labs,United States of America,,Industry,"Pika 1.5,Pika 2.2,Pika 2.0,Pika 2.1"
PingAn Technology,China,,Industry,ChatMol
Pittsburgh Supercomputing Center,United States of America,,Academia,
Polish Academy of Sciences,Poland,,Academia,
Politecnico di Milano,Italy,,,Prot2Token
Polytechnique Montreal,Canada,,Academia,"AMPLIFY,Wuerstchen"
Poolside,United States of America,,Industry,Poolside Malibu
POSTECH,Korea (Republic of),,Academia,"RQ-Transformer (LSUN-cat dataset),RQ-Transformer (1.4B params ImageNet dataset),RQ-Transformer (3.8B params ImageNet dataset),GigaGAN"
Pragmatic Theory Inc.,Canada,,Industry,Pragmatic Theory solution (Netflix 2009)
Preferred Networks Inc,Japan,,Industry,"Spectrally Normalized GAN,PLaMo-13B,PLaMo-100B,PFP"
Prescient Design,United States of America,,Industry,"Genesis,RNA-FrameFlow,LBSTER"
Prime Intellect,United States of America,,Industry,"OpenDiLoCo 150M,OpenDiLoCo 1.1B,INTELLECT-1,INTELLECT-MATH"
Princeton University,United States of America,,Academia,"KEPLER,Multi-scale Dilated CNN,NLP from scratch,NetTalk (transcription),NetTalk (dictionary),SimCSE,Dropout-LSTM+Noise(Bernoulli) (WT2),Transformer + Simple Recurrent Unit,Mamba-24M (SC09),Mamba-2.8B,DensePhrases,RaSoR,H-LSTM+wg+rcp+rcg+wp,LSTM+Noise(Beta),TRIMELMext (247M),AWD-LSTM-MoS+Noisin+dynamic evaluation (PTB),Dropout-LSTM+Noise(Laplace) - medium (WT2),Dropout-LSTM+Noise(Bernoulli) - large(PTB),TRIMELMext (7M),TRIMELMlong (150M),OLMoE,RNAdiffusion,Mamba 2, 2.7B,MindEye2,FlexSBDD,DRGN-AI,SimPO,Llemma 34B,Llemma 7B,GPT3-2.7B (FlashAttention-2)"
Profluent Bio,United States of America,,Industry,ProCALM (Uniref9B)
PSL University,France,,Academia,Contriever
Pt. Jawahar Lal Nehru Memorial Medical College,India,,,HaloClass
Purdue University,United States of America,,Academia,"Heuristic Reinforcement Learning,HaloClass"
Qianhai Technology Innovation Group,China,,"Government,Industry",
Qihoo 360 AI Institute,China,,Industry,Low-Cost Collaborative Network
Qingdao AI Computing Center,China,https://www.qdrgznjszx.com/,Government,
"Qingtian County State-owned Assets Holding Group Co., Ltd.",China,,Government,
Queen Mary University of London,United Kingdom of Great Britain and Northern Ireland,,Academia,StarCoder
Radboud University Medical Center,Netherlands,,Academia,"DDPM,DDIM,PARM"
Recursion Pharmaceuticals,United States of America,,Industry,"OpenPhenom-S/16,Boltz-2"
Reed College,United States of America,,Academia,ProBERTa
Refact AI,United Kingdom of Great Britain and Northern Ireland,https://refact.ai/,Industry,Refact-1.6B
Regeneron,United States of America,,Industry,PROPERMAB
Reka AI,United States of America,"We’re a globally distributed foundation model startup headquartered in Sunnyvale, California. ",Industry,"Reka Core,Reka Flash,Reka Flash 3,Reka Edge"
Reliance Industries,India,,Industry,
Renmin University of China,China,,Academia,"YuLan-Chat-2 (13B),PepGLAD,FABind,LLaDA,Uni-Mol Molecular Model"
Rensselaer Polytechnic Institute,United States of America,,Academia,"Protein-Mamba,AutoDiff"
Replicate,,,,
Research Center Juelich,,,,OpenFlamingo
Research Cluster of Excellence,Germany,,Research collective,AlphaLink
Rey Juan Carlos University,Spain,,Academia,"RNN Baseline,Vine copula (breast cancer),Vine copula (wine quality),Vine copula (crime)"
Rhegen Biotechnology,China,,Industry,RiboCode
Rhymes AI,United States of America,https://rhymes.ai/,Industry,"Allegro,Aria"
Rice University,United States of America,,Academia,"MGK 4 heads (medium),MGK 8 heads (small)"
RIKEN,Japan,,,"Fugaku-LLM,PLTNUM"
rinna,Japan,,Industry,"bilingual-gpt-neox-4b,Japanese-GPT-1B,nekomata-14b"
RISE,Sweden,,Academia,GPT-SW3
Ritsumeikan University,Japan,,Academia,Spectrally Normalized GAN
Roblox,United States of America,,Industry,StarCoder
Rochester Institute of Technology,United States of America,,Academia,DiffStk-MRNN
Plessey Research Roke Manor,United Kingdom of Great Britain and Northern Ireland,,Industry,
Royal Signals and Radar Establishment,United Kingdom of Great Britain and Northern Ireland,,Government,
RSVP.ai,China,,Industry,"Segatron XL large, M=384,Segatron XL base, M=384"
Ruhr University Bochum,Germany,,Academia,"EGRU (WT2),EGRU (PTB)"
Runway,United States of America,,Industry,"Stable Diffusion (LDM-KL-8-G),Gen-2,Gen-1,LDM-1.45B,Gen-3 Alpha,Gen-4,Gen-3 Alpha Turbo,Gen-4 Turbo,Stable Diffusion 1.5"
Rutgers University,United States of America,,Academia,"Social and content-based classification,Super-vector coding,Genie 2 (bio),DCNN,Eagle 2.5,SAGAN"
RWKV Foundation,Multinational,"RWKV is an Open Source, non profit group, under the linux foundation. Supported by our sponsors.",Research collective,"RWKV-4 14B,RWKV-4 World (7B),RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B"
RWTH Aachen University,Germany,,Academia,"Maximum Entropy Models for machine translation,LSTM-300units,TriNet,LSTM LM"
Saama,United States of America,,,"StarCoder,SantaCoder,OpenBioLLM-Llama3-8B,OpenBioLLM-Llama3-70B"
Saarland University,Germany,,Academia,"Word-Independent-SRNN+KN5,NMM(LSTM+RNN),D-LSRC(200)+KN5,D-LSRC(100)+KN5 (PTB),KinoML"
Sakura Internet,Japan,,Industry,
Salesforce,United States of America,,Industry,"DMN,CodeT5-base,CodeT5-large,CodeT5+,CodeGen-Mono 16.1B,XGen-7B,CodeGen2,Pointer Sentinel-LSTM (medium),Zoneout + Variational LSTM (WT2),CodeGen2.5,xLAM-8x22B"
Salesforce Research,United States of America,,Industry,"ProGen,4 layer QRNN (h=2500),QRNN,AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),VD-LSTM+REAL Large,ProGen2-xlarge,DCN+,BLIP-2 (Q-Former),InstructBLIP,VD-LSTM+REAL Medium,AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (PTB),VD-LSTM+REAL Small,Profile Prediction,Flan T5-XXL + BLIP-2,ProGen2-base,xGen-MM (BLIP-3)"
"SambaNova Systems, Inc",United States of America,,Industry,"GPT-2-Medium+Pixelfly,GPT-2-Small+Pixelfly,SambaLingo-Thai-Chat (7B),SambaLingo-Thai-Chat-70B"
Samsung,Korea (Republic of),,Industry,"Fusion in Encoder,MemoReader,Samsung Gauss Language,Samsung Gauss Code,Samsung Gauss Image,Gauss2"
Samsung R&D Institute Russia,Russia,,Industry,"Fine-tuned-AWD-LSTM-DOC (fin),Compress-LSTM (66M),S + I-Attention (3),Compress-LSTM (4.6M),Discriminator-tuned LSTM"
Samsung Research America,United States of America,,Industry,BiomedGPT (182M)
Sandia Corporation,United States of America,,Industry,Pattern recognition and reading by machine
Sanford Burnham Prebys Institute,United States of America,,,PepPrCLIP
Sanskriti School,India,,Academia,PLAPT
SAP,"Multinational,Germany",https://en.wikipedia.org/wiki/SAP,Industry,StarCoder
Sapienza Università di Roma,Italy,,Academia,Ceramic-MLP
Saudi Aramco,Saudi Arabia,,"Industry,Government",Aramco Metabrain AI
Sber,Russia,"Sber (formely Sberbank) is a major Russian state-owned banking and financial services company. As part of this transformation, Sberbank has become one of the major tech companies and launched or acquired businesses in areas like online cinema, music, food delivery, cloud storage, and pharmacies.","Industry,Government","ruDalle: Kandinsky 3.0,ruDalle: Kandinsky 3.1,FRED-T5-XL,ruGPT-3.5 13B,OmniFusion-7B (InternViT-6B-448px V1-2),GigaChat-7B,GigaChat MAX,GigaChat Pro,GigaChat 2 MAX,GigaChat 2 Lite,GigaChat 2 Pro,GigaChat,GigaChat Lite (GigaChat-20B-A3B)"
SberCloud,Russia,,Industry,
ScaDS.AI,Germany,,,StarCoder
Science Applications International Corporation / SAIC,United States of America,,Industry,MLP baggage detector
Science for Life Laboratory,Sweden,,Research collective,EvoBind2
Sea AI Lab,Singapore,,,"StarCoder,Sailor-7B-Chat"
Search Solutions,Korea (Republic of),,Industry,HyperCLOVA 82B
SENAI CIMATEC,Brazil,,Academia,
SenseTime,"Hong Kong,China",,Industry,"InternLM,SenseChat,InternImage,SenseChat 5.0,InternLM2-20B,SenseChat 5.5,CFSS,CCL,InternViT-6B, InternVL,InternVL1.5,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,SenseNova V6,SenseNova Unified Large Model,SenseChat-DataAnalysis V4,SenseMirage V4,SenseChat-Medical V4,SenseChat-Vision V4,SenseChat 4.0"
Sensifai,Belgium,,Industry,SimpleNet
Seoul National University,Korea (Republic of),,Academia,"EDSR,Deeply-recursive ConvNet,RoseTTAFold All-Atom (RFAA),ProtBERT-BFD,ProtT5-XXL,ProtT5-XXL-BFD,RFdiffusion,RoseTTAFold2-Lite,ProtBERT-UniRef,PLUS-RNN,ProstT5"
Service Provider T,China,,Industry,
ServiceNow,United States of America,,Industry,"StarCoder,SantaCoder,StarCoder 2 15B,StarCoder 2 7B,StarCoder 2 3B,Apriel Nemotron 15B"
Sesterce,France,,Industry,
Shandong University,China,,Academia,"NeuMF (Pinterest),dense-IndRNN+dynamic eval,IDPFold,PepNet"
Shanghai Academy of Artificial Intelligence for Science,China,,,4D Diffusion for Dynamic Protein Structure Prediction with Reference Guided Motion Alignment
Shanghai Academy of Experimental Medicine,China,,,Pro-PRIME
Shanghai AI Lab,China,,Academia,"InternLM,VideoMAE V2,SPHINX (Llama 2 13B),InternImage,OneLLM,CODA,InternLM2-20B,InternLM-XComposer,ProtRNA,Protllm,RNA-FM,RNA-MSM,OPUS-Design,CrossBind,ProSST,ProtSSN,Pro-PRIME,CPDiffusion,HGRN 1B (WT 103),HGRN2 3B,HGRN2 1B,InternLM2.5,InternViT-6B, InternVL,InternVL1.5,InternVL2 26B,Vega v2,OpenChat-13b,Eurus-2-7B-PRIME,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,InternVL2-40B,OREAL 7B,OREAL 32B,InternVL2-Llama3-76B,Lumina-Image-2.0"
Shanghai Jiao Tong University,China,,Academia,"GraSR,CrossBind,ProSST,ProtSSN,Pro-PRIME,DiffForce,CPDiffusion,IDPFold,stFormer,EnzymeFlow,F5-TTS,Eurus-2-7B-PRIME,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,OREAL 7B,OREAL 32B,Lumina-Image-2.0,HAM-TTS,Zhaoyan (兆言大语言模型)"
Shanghai Ocean University,China,,Academia,PreAlgPro
Shanghai Qi Zhi institute,China,,,"EfficientZero,Robot Parkour,GLM-10B"
Shanghai Supercomputer Center,China,https://www.ssc.net.cn/en/resource-hardware.html,Government,
Shanghai Tech University,China,,Academia,"Pro-PRIME,CLAY"
Shanghai Zelixir Biotech,China,,Industry,RNA-FM
ShanghaiTech University,China,,Academia,"SPHINX (Llama 2 13B),DeepSA"
Shannon Laboratory,United States of America,,,Perceptron for Large Margin Classification
Shannon.AI,China,https://shannonai.com/,Industry,"base LM+GNN+kNN,base LM+GNN (WT103)"
Shape Therapeutics,United States of America,,Industry,DeepREAD
SHARP Central Research Laboratories,Japan,,Industry,
Shenyang AI Computing Center,China,,Government,
Shenzhen Bay Laboratory,China,,,RNA-MSM
Shenzhen Institute of Advanced Technology,China,,,"TSN,VideoMAE V2,MASSA,CFSS,OpenOmni"
Shenzhen Maternity & Child Healthcare Hospital,China,,,CHIEF
Shenzhen Research Institue of Big Data,China,,Academia,HuatuoGPT
Shenzhen Yuanxiang Technology,China,,Industry,"XVERSE-65B-2,XVERSE-13B-2,XVERSE-MoE-A4.2B"
Shihezi University,China,,Academia,AntiFormer
Shutterstock,United States of America,"Shutterstock, Inc. is an American provider of stock photography, stock footage, stock music, and editing tools; it is headquartered in New York.",Industry,BITTERS
SIAM AI,Thailand,,Industry,
Sichuan University,China,,Academia,"AntiFormer,CHIEF,PDFII"
SiDi,Brazil,,Industry,
Siemens Healthineers,Germany,,Industry,
Silo AI,Finland,Europe's largest private AI lab,Industry,Viking
Simon Fraser University,Canada,,Academia,DD-PPO
Singapore Agency for Science,Singapore,,Government,MolMVC
Singapore University of Technology & Design,Singapore,,Academia,"SPN-4+KN5,TinyLlama-1.1B (1T token checkpoint),TinyLlama-1.1B (3T token checkpoint),SPN-4,Sailor-7B-Chat"
Singtel,Singapore,,Industry,
SingularityNET,Multinational,,Industry,
SK Telecom,Korea (Republic of),sktelecom.com,Industry,"A.X (Adot) 39B,A.X (Adot) 18B,A.X (Adot) 7B,SK Telecom Telco"
Skolkovo Institute of Science and Technology,Russia,,Academia,"MULAN,OmniFusion-7B (InternViT-6B-448px V1-2)"
SLAC National Laboratory,,,,DRGN-AI
Smart Grid Research Institute,China,,,Protllm
SMC - Sustainable Metal Cloud,Singapore,,Industry,
Snowflake,United States of America,https://www.snowflake.com/,Industry,Arctic
Softbank,Japan,,Industry,
Sony,Japan,,Industry,CTM (CIFAR-10)
Soochow University,Taiwan,,Academia,"Adaptive Input Transformer + RD,ExSelfRL"
Soongsil University,Korea (Republic of),,Academia,GPU implementation of neural networks
Sorbonne University,France,,Academia,"CamemBERT,DeiT-B,VespaG,SeaMoon,Idefics2"
South China University of Technology,China,,Academia,"NeoaPred,Grounding Dino L"
Southern University of Science and Technology (SUSTech),China,,Academia,"MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune)"
Southwest Petroleum University,China,,Academia,MolPath
Stability AI,United Kingdom of Great Britain and Northern Ireland,,Industry,"Stable Diffusion XL (SDXL),StableLM-3B-4E1T,StableLM-Base-Alpha-7B,Japanese StableLM Base Alpha 7B,Stable Beluga 1,Stable Beluga 2,StableLM-2-1.6B,Stable Code 3B,Pythia-12b,Stable LM 2 12B,Stable Diffusion 3,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m,Stable Video 3D (SV3D),Stable Video Diffusion,Stable Video 4D (SV4D),Stable Diffusion 3 Medium,MindEye2,StableLM - Zephyr 3B,Stable Diffusion 3.5 Large,Stable Diffusion 3.5 Large Turbo,Stable Cascade,SD-Turbo,Stable Diffusion 2.1,Stable Diffusion 1.6"
Stanford Research Institute,United States of America,,Industry,
Stanford University,United States of America,,Academia,"Megatron-LM (1T),ProGen,ELECTRA,PNASNet-5,PointNet++,PNAS-net,SqueezeNet,PointNet,CRF-RNN,Constituency-Tree LSTM,GloVe (6B),GloVe (32B),Multiresolution CNN,Textual Imager,TensorReasoner,MV-RNN,Optimized Single-layer Net,Recursive sentiment autoencoder,GPU DBNs,Conv-DBN,Stanley (DARPA Grand Challenge 2),RL for helicopter flight,Semantic Taxonomy Induction,SACHS,Max-Margin Markov Networks,LDA,Gradient Boosting Machine,Innervator,MADALINE II,Adaptive Broom Balancer,Learning past tenses,MADALINE I,ADALINE,Robot Parkour,StarCoder,Hybrid H3-2.7B,S4,Base LM + kNN LM + Continuous Cache,ENAS,2-layer-LSTM+Deep-Gradient-Compression,VD-LSTM+REAL Large,CTM (CIFAR-10),ESM2-15B,ESM2-3B,ESM2-650M,ESM2-150M,ESM2-35M,ESM2-8M,HyenaDNA,RT-Trajectory,OpenFlamingo,Scatterbrain,Hybrid H3-1.3B,Hybrid H3-125M,Hybrid H3-355M,Monarch-GPT-2-Medium,GPT-2-Medium+Pixelfly,rTop-k(distributed setting),Hyena-3-slim,Evo,VD-LSTM+REAL Medium,Truck backer-upper,RNTN,Monarch-GPT-2-Small,GPT-2-Small+Pixelfly,VD-LSTM+REAL Small,Recursive Neural Network,Fragment embedding,Vector Space Model,ISR network,node2vec,Monocular Depth Prediction,Sparse Vision Encoding,OpenVLA,RNAdiffusion,Protein-Mamba,eFold,Alpaca,CHIEF,TxGNN,HiPPO-LegS,DRGN-AI,SignalP 6.0,CryoChains,Apollo 7B,Apollo 3B,Apollo 1.5B,s1,Evo 2 40B,Evo 2 7B,Prithvi WxC,Octo-Base,Octo-Small,minChatGPT,Agent Q,Quiet-STaR,Apollo-7B,W.A.L.T,GPT3-2.7B (FlashAttention-2),GPT-2 Medium (FlashAttention),Hyena 1.3B,Hyena-2 355M,Hyena-2 153M,s1-32B,s1.1,ControlNet,STORM-B/8,CollabLLM"
State Key Laboratory of Cognitive Intelligence,China,,,"PocketFlow,FlexSBDD"
State University of New York (SUNY),United States of America,,Academia,
Stockholm University,Sweden,,Academia,"AF_unmasked,EvoBind2,SignalP 6.0"
Stockmark,Japan,,Industry,Stockmark-13B
Sugon,China,,Industry,
Sun Yat-sen University,China,,Academia,"CODA,PMLM-large,CHIEF,RiboCode,EpiScan,DeepRelax,GraphEC,Deep learning linking mechanistic models to single-cell transcriptomics data reveals transcriptional bursting in response to DNA damage,SAF R-CNN,OV-DINO"
Suno,United States of America,,Industry,"Suno Music Generation,Suno Bark Model,Suno v3,Suno v4"
SUPSI,Switzerland,,Academia,"6-layer MLP (MNIST),Delta RNN (+ full context),Linear Transformer (small),Highway Network,DNN EM segmentation"
SURF,Netherlands,,Government,
Swedish University of Agricultural Sciences,Sweden,,,PLLaMa
Swiss Federal Institute of Technology,Switzerland,,Academia,"StarGAN v2,BindCraft"
